id,category,input_text,ai_response,follow_up_question,gentle_suggestion,should_do,should_avoid,review_focus,naturalness_1_5,groundedness_1_5,non_redundancy_1_5,self_vs_other_correctness_1_5_or_na,brevity_discipline_1_5,follow_up_usefulness_1_5_or_na,anti_template_feel_1_5,reviewer_notes
greeting-01,greeting_opening,Hello,"Hey, I'm here with you.",,,Stay warm and very short.,Do not become analytical or heavy.,"Greeting should feel natural, brief, and welcoming.",,,,,,,,
greeting-02,greeting_opening,Hey,"Hey, I'm here with you.",,,Reply like a calm companion greeting.,Do not over-interpret the message.,Warmth without over-assembly.,,,,,,,,
greeting-03,greeting_opening,I just wanted to check in.,"That sounds heavy, and you do not have to sort all of it out right now. What feels hardest to say out loud?",What feels hardest to say out loud?,,Acknowledge gently and keep it simple.,Do not jump into advice or diagnosis.,Opening should be short and steady.,,,,,,,,
neutral-01,neutral_checkin,Today was pretty ordinary.,"That sounds heavy, and you do not have to sort all of it out right now. What feels hardest to say out loud?",What feels hardest to say out loud?,,Stay light and not force depth.,Do not manufacture hidden pain or conflict.,Neutral inputs should not feel over-processed.,,,,,,,,
neutral-02,neutral_checkin,"Nothing big happened today, just a normal day.","That sounds heavy, and you do not have to sort all of it out right now. What feels hardest to say out loud?",What feels hardest to say out loud?,,Acknowledge the check-in naturally.,Do not sound disappointed or clinical.,Neutral tone should remain calm and simple.,,,,,,,,
sadness-01,self_sadness,I feel so sad now because I didn't finish the deadline on time.,That deadline pressure sounds heavy. What feels heaviest right now?,What feels heaviest right now?,,"Acknowledge the emotional weight and pressure, then ask one useful question at most.",Do not repeat the same emotion label several times.,"Should feel supportive, grounded, and not stitched together.",,,,,,,,
sadness-02,self_sadness,I felt low all evening after that conversation.,"That sounds heavy, and you do not have to sort all of it out right now. What feels hardest to say out loud?",What feels hardest to say out loud?,,Reflect the heaviness without inventing details.,Do not guess what happened in the conversation.,Stay evidence-bounded and emotionally natural.,,,,,,,,
sadness-03,self_sadness,I miss my dad a lot tonight.,"That sounds heavy, and you do not have to sort all of it out right now. What feels hardest to say out loud?",What feels hardest to say out loud?,,Be gentle and simple.,Do not over-explain grief or prescribe coping steps.,Warmth without therapy tone.,,,,,,,,
stress-01,self_stress_overload,I can't keep up with all this pressure anymore.,"Feeling like you can't keep up can get exhausting fast. Is it the pressure itself, or the feeling of falling behind?","Is it the pressure itself, or the feeling of falling behind?",,Acknowledge overload clearly and ask one focused question.,Do not drift into generic filler.,Pressure support should feel direct and human.,,,,,,,,
stress-02,self_stress_overload,Everything keeps piling up and I feel behind.,That sounds like a lot of pressure to carry. What feels heaviest right now?,What feels heaviest right now?,,Name the sense of piling pressure without sounding mechanical.,Do not repeat the same idea in three ways.,Catch over-assembly and template drift.,,,,,,,,
stress-03,self_stress_overload,My head feels like too many tabs are open at once.,"That sounds heavy, and you do not have to sort all of it out right now. What feels hardest to say out loud?",What feels hardest to say out loud?,,Meet the overload metaphor naturally.,Do not flatten it into a cold emotion label.,"Should sound companion-like, not report-like.",,,,,,,,
guilt-01,guilt_regret,I snapped at my sister and I keep replaying it.,"That sounds heavy, and you do not have to sort all of it out right now. What feels hardest to say out loud?",What feels hardest to say out loud?,,Acknowledge lingering guilt or regret without overreaching.,Do not moralize or assume what happened next.,Gentle validation without lecture.,,,,,,,,
guilt-02,guilt_regret,I should have answered that message earlier.,"That sounds heavy, and you do not have to sort all of it out right now. What feels hardest to say out loud?",What feels hardest to say out loud?,,Stay soft and grounded.,Do not inflate this into a major crisis.,Small regret should not become dramatic.,,,,,,,,
guilt-03,guilt_regret,I keep thinking about what I said and wishing I could take it back.,"That sounds heavy, and you do not have to sort all of it out right now. What feels hardest to say out loud?",What feels hardest to say out loud?,,Reflect regret cleanly and briefly.,Do not become verbose or repetitive.,Natural remorse handling.,,,,,,,,
relief-01,positive_relief_gratitude,"Finally, I finished my deadline.","That sounds lighter, and in a good way.",,,Sound lighter and relieved.,Do not make it heavy or analytical.,"Positive relief should feel like release, not treatment.",,,,,,,,
relief-02,positive_relief_gratitude,Today felt lighter than yesterday.,"That sounds heavy, and you do not have to sort all of it out right now. What feels hardest to say out loud?",What feels hardest to say out loud?,,Recognize the shift gently.,Do not drag the response back into heaviness.,Mixed recovery should preserve the lighter tone.,,,,,,,,
relief-03,positive_relief_gratitude,My friend helped me today and I feel really grateful.,That sounds like a real exhale.,,,Stay warm and appreciative.,Do not ask a heavy follow-up if not needed.,Gratitude should remain warm and uncluttered.,,,,,,,,
other-01,other_person_concern,My friend Minh seems sad now.,Seeing your friend seem this down can really stay with you. What are you most worried about here?,What are you most worried about here?,,"Center the user's concern and noticing, not the friend's sadness as if it were the user's.",Do not talk like the user is the one who seems sad.,Self-vs-other correctness is critical here.,,,,,,,,
other-02,other_person_concern,My crush looks upset today.,It can feel unsettling when your crush seems upset. What part of this is staying with you most?,What part of this is staying with you most?,,Sound gentle and uncertain where appropriate.,Do not state the other person's inner state with certainty.,Concern and uncertainty should both be visible.,,,,,,,,
other-03,other_person_concern,My sister seems really stressed lately.,Seeing your sister seem stressed can sit heavily with you. What are you most worried about here?,What are you most worried about here?,,Reflect that the user is carrying concern for someone close.,Do not collapse the stress onto the user directly.,Relationship concern should stay relational.,,,,,,,,
other-04,other_person_concern,My coworker has looked overwhelmed all week.,Seeing your coworker seem off can sit heavily with you. What feels heaviest here for you?,What feels heaviest here for you?,,Keep the response observational and grounded.,Do not force false intimacy or certainty.,Concern can be present without overpersonalizing.,,,,,,,,
ambiguous-01,ambiguous_emotion_ownership,Things have felt tense at home lately.,"That sounds heavy, and you do not have to sort all of it out right now. What feels hardest to say out loud?",What feels hardest to say out loud?,,Stay cautious and grounded.,Do not invent who is feeling what.,Ambiguous ownership should stay ambiguous.,,,,,,,,
ambiguous-02,ambiguous_emotion_ownership,We both seemed off after dinner.,"That sounds heavy, and you do not have to sort all of it out right now. What feels hardest to say out loud?",What feels hardest to say out loud?,,Acknowledge uncertainty and shared weirdness without forcing a story.,Do not assign a fixed emotion owner too confidently.,This should not over-claim.,,,,,,,,
ambiguous-03,ambiguous_emotion_ownership,It was a weird conversation and now everything feels heavy.,"That sounds heavy, and you do not have to sort all of it out right now. What feels hardest to say out loud?",What feels hardest to say out loud?,,Reflect the heaviness while staying nonspecific.,Do not infer a hidden conflict or timeline.,Evidence-bounded restraint matters here.,,,,,,,,
deadline-01,work_pressure_deadline,I didn't finish the project on time and now I feel behind.,That sounds like a lot of pressure to carry. What feels heaviest right now?,What feels heaviest right now?,,Acknowledge pressure and the emotional hit cleanly.,Do not shame the user or sound robotic.,Deadline pressure should be grounded and concise.,,,,,,,,
deadline-02,work_pressure_deadline,My inbox keeps growing and I can't catch up.,"That sounds heavy, and you do not have to sort all of it out right now. What feels hardest to say out loud?",What feels hardest to say out loud?,,Meet the ongoing pressure directly.,Do not give generic productivity advice by default.,Supportive pressure handling without canned coaching.,,,,,,,,
deadline-03,work_pressure_deadline,I'm behind again and the deadline is tomorrow.,That deadline pressure sounds heavy. What feels heaviest right now?,What feels heaviest right now?,,Feel immediate but calm.,Do not sound melodramatic or repetitive.,Urgency without panic.,,,,,,,,
energy-01,low_energy_emptiness,I feel empty today.,"That sounds heavy, and you do not have to sort all of it out right now. What feels hardest to say out loud?",What feels hardest to say out loud?,,Keep the tone gentle and simple.,Do not over-explain or over-prescribe.,Low-energy moments should not feel overwritten.,,,,,,,,
energy-02,low_energy_emptiness,"I got out of bed, but that's about all I had in me.","That sounds heavy, and you do not have to sort all of it out right now. What feels hardest to say out loud?",What feels hardest to say out loud?,,Acknowledge how small effort can still matter.,Do not become cheerleading or clinical.,Should feel quiet and humane.,,,,,,,,
energy-03,low_energy_emptiness,Everything feels flat lately.,"That sounds heavy, and you do not have to sort all of it out right now. What feels hardest to say out loud?",What feels hardest to say out loud?,,Stay understated and grounded.,Do not push intensity into a low-energy case.,Tone should match the low-energy input.,,,,,,,,
frustration-01,frustration_not_heard,I tried to explain myself and nobody really listened.,"That sounds heavy, and you do not have to sort all of it out right now. What feels hardest to say out loud?",What feels hardest to say out loud?,,Acknowledge the frustration of not landing with people.,Do not over-specify who was wrong or why.,Frustration should feel seen without narrative invention.,,,,,,,,
frustration-02,frustration_not_heard,I feel talked over every time I bring this up.,That sounds like a lot of pressure to carry. What feels heaviest right now?,What feels heaviest right now?,,Reflect repeated dismissal cleanly.,Do not default to therapy jargon.,Supportive and plainspoken.,,,,,,,,
